X,Y,Z,DIP,dipdir,feature_name,dip
309704.4255674224,7247490.225419441,0,,8,s0,85.0
298655.299306892,7264094.335700947,0,,18,s0,35.0
298588.0791841921,7263845.516347406,0,,354,s0,90.0
297812.16997346,7265104.550074744,0,,54,s0,35.0
297724.0054062468,7264960.229450789,0,,358,s0,20.0
297799.66927350784,7264581.316577408,0,,6,s0,60.0
297658.27778136294,7264332.847152641,0,,15,s0,60.0
297668.17279451736,7264272.169503401,0,,20,s0,65.0
297660.08362126217,7264015.46175552,0,,35,s0,20.0
297498.7042025422,7263750.405706914,0,,210,s0,30.0
297537.71529190836,7263525.291528253,0,,12,s0,35.0
297361.7737121616,7263260.6953860335,0,,25,s0,25.0
297459.21485421003,7263074.223341877,0,,220,s0,10.0
297383.468528504,7262919.444846592,0,,200,s0,30.0
297353.8906850144,7262810.766967661,0,,205,s0,60.0
297267.0866821087,7262616.49651085,0,,200,s0,50.0
297271.6713715371,7262510.638058033,0,,200,s0,35.0
298269.1134351281,7262714.006662931,0,,180,s0,60.0
298387.42480909184,7263031.821972543,0,,6,s0,25.0
298507.03902644885,7263482.820173165,0,,200,s0,35.0
298587.97198821855,7263685.968822843,0,,190,s0,30.0
293422.0494868339,7265448.84999354,0,,20,s0,35.0
293399.4723651501,7265327.414711341,0,,54,s0,32.0
293299.887303585,7265109.878990108,0,,175,s0,10.0
293302.4764986945,7264929.765651657,0,,190,s0,5.0
293384.9349416564,7264510.411010079,0,,212,s0,15.0
293371.939491045,7264451.942911092,0,,10,s0,50.0
293261.6430777383,7264363.320949837,0,,12,s0,50.0
293256.61311271915,7264279.9279242465,0,,6,s0,12.0
293235.7923558716,7264264.551054164,0,,354,s0,60.0
293205.15079846734,7264296.884472791,0,,348,s0,30.0
293202.32247387373,7264221.839747926,0,,192,s0,30.0
293234.47302078415,7264224.199267653,0,,210,s0,18.0
293264.9331696128,7264054.583792392,0,,210,s0,35.0
293201.6628063286,7263683.469331667,0,,198,s0,45.0
293172.03548777197,7263560.044454443,0,,192,s0,45.0
293056.0659335917,7263126.322737245,0,,192,s0,40.0
312288.9452826866,7261021.031263061,0,,215,s0,15.0
312240.533930824,7260935.95857936,0,,210,s0,5.0
279010.7379354165,7262192.672779206,0,,325,s0,70.0
278931.8581888787,7261929.246398884,0,,156,s0,75.0
278866.03161386296,7261863.039875031,0,,150,s0,60.0
278914.59139092336,7261559.55164918,0,,110,s0,5.0
278374.0845431533,7261404.633182397,0,,120,s0,70.0
277027.78554492083,7261426.768676808,0,,280,s0,30.0
276699.73287544487,7261369.510331584,0,,300,s0,35.0
275599.80321309227,7261380.1981561305,0,,38,s0,20.0
275458.3457541901,7261336.237104278,0,,360,s0,5.0
275299.7864142193,7261298.094868024,0,,28,s0,15.0
274953.18059507513,7260876.480686378,0,,320,s0,25.0
274919.57053372473,7260815.433112435,0,,40,s0,5.0
274859.60675400577,7260657.33529279,0,,352,s0,40.0
278095.77080647316,7260265.295091373,0,,90,s0,35.0
284731.30890755396,7265969.524011971,0,,152,s0,40.0
285676.3074014239,7266622.931012851,0,,150,s0,8.0
286650.9332138522,7267487.465039439,0,,20,s0,60.0
282522.610037768,7265594.330381583,0,,115,s0,40.0
282870.0899164104,7268270.8855765145,0,,312,s0,70.0
281584.90911610157,7266873.759957413,0,,320,s0,35.0
280859.9922064953,7267977.455303432,0,,5,s0,20.0
280865.11287580384,7268044.131731639,0,,2,s0,20.0
281396.61526159954,7266880.878508456,0,,358,s0,50.0
332302.07940241357,7290454.61014319,0,,205,s0,15.0
332224.5519743394,7290410.929034354,0,,212,s0,40.0
331522.35236577573,7289640.405872116,0,,192,s0,5.0
331048.3235147274,7290435.993932471,0,,350,s0,35.0
330999.4916248056,7290601.670209544,0,,192,s0,30.0
336155.4119170296,7287242.613935711,0,,5,s0,15.0
336137.0978968493,7286963.380772812,0,,358,s0,10.0
336010.0789113131,7286898.094061734,0,,345,s0,22.0
336097.06432279083,7286695.635271635,0,,350,s0,10.0
336261.3215411694,7286264.243080266,0,,345,s0,15.0
336273.0553776052,7286248.096366882,0,,350,s0,10.0
336299.4503251937,7286218.0624801945,0,,348,s0,10.0
336300.0522718269,7286149.496436613,0,,355,s0,15.0
336271.90095940104,7286078.830820395,0,,5,s0,15.0
336422.52779715863,7285901.376940619,0,,355,s0,15.0
335381.2260877603,7286171.601937105,0,,352,s0,15.0
334905.49859278766,7286435.378246203,0,,15,s0,20.0
333344.2304337693,7287525.186418908,0,,25,s0,25.0
333184.3187753368,7287796.321230202,0,,360,s0,10.0
333629.91595525277,7288044.660681425,0,,170,s0,15.0
333663.09723270044,7288270.904630123,0,,350,s0,75.0
331618.1938140289,7288237.691390588,0,,14,s0,20.0
331297.89223819325,7287517.937894329,0,,8,s0,35.0
331306.03913235746,7287431.075574903,0,,7,s0,35.0
331321.69799067324,7287292.033876439,0,,355,s0,20.0
331320.8734062441,7287016.319997201,0,,345,s0,20.0
331326.5300554311,7286748.994410549,0,,2,s0,10.0
331240.4599326687,7286726.129064724,0,,355,s0,10.0
331315.1095610814,7286410.453319609,0,,355,s0,8.0
331015.68646300235,7286156.94492051,0,,15,s0,20.0
337166.93788267666,7288611.855230606,0,,354,s0,50.0
337208.18359584315,7288560.16575185,0,,190,s0,15.0
337636.29134000605,7288471.773743786,0,,358,s0,8.0
336388.2580682646,7288969.522428486,0,,348,s0,54.0
335611.68918999494,7289134.2089070305,0,,8,s0,45.0
332867.2578163099,7290779.494014017,0,,16,s0,30.0
332955.89239664713,7290504.739939414,0,,184,s0,10.0
321513.19198789366,7293059.219982436,0,,328,s0,40.0
321497.4094419099,7293056.800474919,0,,292,s0,70.0
321474.9972371126,7293049.431974757,0,,56,s0,80.0
321471.1216902948,7293042.953293473,0,,10,s0,32.0
321468.21090725856,7293024.637021698,0,,264,s0,60.0
321574.54106945504,7292939.144423468,0,,94,s0,60.0
322146.7531885398,7292581.537213378,0,,184,s0,50.0
322122.5928647507,7292680.257119227,0,,344,s0,80.0
322123.7225454182,7292639.065503661,0,,350,s0,52.0
321773.90909284726,7291940.067782626,0,,200,s0,30.0
321829.3623957408,7292267.1112138815,0,,10,s0,50.0
319003.85788093135,7291475.862270325,0,,54,s0,32.0
318926.7262533837,7291285.660985248,0,,106,s0,12.0
318401.7298387422,7290719.556214238,0,,160,s0,26.0
318399.3055605191,7290359.619478319,0,,150,s0,28.0
318562.1115102998,7291948.146138314,0,,187,s0,70.0
318316.6162339171,7291834.069358314,0,,30,s0,50.0
318291.7962425858,7291715.11357142,0,,154,s0,60.0
318293.2062819608,7291700.28658941,0,,132,s0,55.0
318252.7026947788,7291673.512039292,0,,170,s0,70.0
318408.4914310659,7291621.472631762,0,,134,s0,65.0
318260.5362468603,7291522.512774756,0,,96,s0,35.0
318343.2832943703,7291466.094258579,0,,112,s0,15.0
318694.4655570974,7291435.0805713255,0,,90,s0,35.0
319642.7046677696,7289440.866487825,0,,334,s0,35.0
319434.2662156515,7289498.214814739,0,,12,s0,40.0
320172.0548881988,7289509.822452036,0,,350,s0,32.0
323571.7092954966,7288496.088794571,0,,18,s0,28.0
323500.8610013097,7288696.917916385,0,,12,s0,15.0
322826.3014628206,7289235.388312299,0,,2,s0,30.0
324060.250832509,7289148.156068165,0,,10,s0,40.0
286562.9665469076,7277240.2798822075,0,,250,s0,15.0
286499.9518047968,7276996.219559981,0,,250,s0,15.0
286348.46739923174,7276939.711062124,0,,235,s0,40.0
285972.17654062685,7276891.610852788,0,,260,s0,15.0
286990.4888361305,7277323.492944423,0,,265,s0,15.0
286657.5463809895,7278710.900541628,0,,218,s0,10.0
283134.43519286416,7278450.873469439,0,,130,s0,10.0
283073.41594507475,7278543.884537308,0,,128,s0,10.0
289819.01957580936,7276399.551010091,0,,330,s0,50.0
289882.23221817956,7276130.605753118,0,,335,s0,10.0
289233.59761415876,7277005.837602217,0,,330,s0,25.0
288992.74474811455,7276944.140160557,0,,330,s0,20.0
296445.85831113637,7280216.943990719,0,,338,s0,50.0
296612.4408576073,7280562.723608278,0,,348,s0,30.0
278782.8227990928,7281940.803104442,0,,112,s0,25.0
278718.8515390414,7282191.532069286,0,,130,s0,20.0
277279.5476629946,7284055.842594303,0,,348,s0,10.0
276572.0624682341,7286637.24715689,0,,330,s0,15.0
276564.08873679815,7286971.419137152,0,,350,s0,40.0
303702.1188332704,7283533.44892567,0,,294,s0,48.0
303543.35334719496,7282897.84830034,0,,192,s0,62.0
303409.440835823,7282823.073520531,0,,205,s0,35.0
303283.180467961,7282809.106363507,0,,210,s0,45.0
302836.1155277607,7282996.008320158,0,,185,s0,75.0
296084.9459521397,7277872.20125632,0,,354,s0,25.0
264244.0799698633,7274912.143768049,0,,18,s0,10.0
264322.1433778154,7274830.790327304,0,,345,s0,10.0
264328.7812824752,7274684.3001449555,0,,210,s0,45.0
264245.7538762559,7274682.230566217,0,,185,s0,45.0
264151.82546387834,7274635.870002776,0,,204,s0,40.0
263894.67056365963,7275260.27290738,0,,330,s0,35.0
262887.53963301046,7275186.847852868,0,,350,s0,50.0
262779.4943352004,7276593.481536657,0,,340,s0,40.0
266163.61357188295,7272676.618802631,0,,216,s0,50.0
266311.222430627,7272873.248779165,0,,200,s0,50.0
269641.68595847086,7273001.962579757,0,,154,s0,15.0
270063.370189933,7272944.12435255,0,,220,s0,15.0
270060.89643664577,7273626.345488411,0,,320,s0,30.0
308520.1821471655,7276925.234008653,0,,55,s0,50.0
308614.48986838176,7276909.467217937,0,,55,s0,30.0
308804.93588824256,7276958.397258367,0,,58,s0,20.0
308963.1241652204,7276996.569488519,0,,50,s0,30.0
309087.5786931793,7276990.740674957,0,,70,s0,20.0
309243.62305063737,7277029.882707708,0,,46,s0,22.0
309597.9799634181,7277468.783370745,0,,21,s0,50.0
309676.57110540406,7277691.757984908,0,,206,s0,85.0
310168.08939220314,7271763.944574166,0,,205,s0,60.0
310100.14363520313,7271246.429912778,0,,140,s0,50.0
310044.8552491986,7271188.291746633,0,,180,s0,15.0
310039.5531713148,7271027.914390979,0,,178,s0,15.0
309723.4899594476,7270533.035122225,0,,210,s0,30.0
315202.92770680063,7275709.441479661,0,,180,s0,15.0
315744.8363480922,7268446.719785635,0,,52,s0,50.0
315702.6093794542,7268440.611029055,0,,62,s0,45.0
314356.0547600562,7268106.379061013,0,,252,s0,45.0
314676.5294986235,7268444.670202829,0,,222,s0,55.0
313095.66096770926,7268968.843508879,0,,196,s0,45.0
313270.1677705493,7269126.841348875,0,,210,s0,60.0
313240.36728926084,7269205.205398099,0,,276,s0,40.0
313482.1684274018,7269522.860740272,0,,194,s0,30.0
313464.7202208707,7269600.72489125,0,,196,s0,55.0
313304.7673332143,7270016.550251203,0,,210,s0,35.0
312831.49709984136,7269785.847210141,0,,188,s0,30.0
305980.26420370105,7270702.930540532,0,,210,s0,25.0
305969.85794819746,7270614.708497874,0,,200,s0,45.0
305918.5028299228,7270529.345873188,0,,192,s0,50.0
304538.9565874998,7269982.317219298,0,,215,s0,40.0
304566.9677205703,7270070.7892110795,0,,200,s0,40.0
300112.23279804504,7273093.084031757,0,,235,s0,35.0
300001.91989305185,7273053.832021391,0,,252,s0,40.0
299869.98638431367,7273271.297756871,0,,254,s0,35.0
299591.5654516567,7272783.577031015,0,,245,s0,35.0
299400.38555165153,7273373.766899578,0,,276,s0,35.0
299345.63314552355,7273448.311726196,0,,268,s0,40.0
299183.11580029153,7273433.77468517,0,,352,s0,30.0
299097.11989012896,7273421.787125204,0,,250,s0,30.0
304111.83834465116,7271396.809303533,0,,220,s0,50.0
309231.6171013416,7272617.440847477,0,,195,s0,50.0
316220.8936768414,7273431.575132756,0,,14,s0,50.0
316552.42609260743,7273290.383871827,0,,12,s0,50.0
315452.1253672723,7279088.743632488,0,,345,s0,60.0
315304.5659835945,7279737.061669229,0,,178,s0,30.0
314859.14196640917,7278396.59451744,0,,168,s0,60.0
310627.56432807713,7285684.081170651,0,,342,s0,65.0
311072.7244782462,7286496.365832457,0,,346,s0,75.0
311292.69062068907,7285758.106103087,0,,340,s0,65.0
312609.1891376281,7287296.602946499,0,,165,s0,25.0
313340.26569291594,7287948.460262825,0,,12,s0,40.0
316919.56406404776,7273074.667780211,0,,56,s0,50.0
318192.1534601066,7274289.210563538,0,,30,s0,32.0
317896.0699289669,7274065.7760429885,0,,182,s0,12.0
317034.0328745642,7273046.703472264,0,,78,s0,65.0
340247.1070527142,7282539.411258993,0,,8,s0,15.0
339831.24438733177,7284076.818324236,0,,240,s0,35.0
336215.5653511687,7282528.0035810005,0,,286,s0,50.0
335894.5628785682,7282473.284718868,0,,260,s0,40.0
343870.99894979806,7275503.453407839,0,,45,s0,35.0
341628.3766765925,7276317.037805095,0,,22,s0,20.0
341585.1272232608,7275811.010805426,0,,34,s0,45.0
341352.4459889155,7275562.131464096,0,,154,s0,50.0
340661.4112535269,7275765.240121918,0,,54,s0,50.0
340891.3136383451,7276512.76796479,0,,30,s0,40.0
327954.0704426244,7279161.848752098,0,,110,s0,20.0
329800.30673467077,7276284.434441445,0,,195,s0,60.0
328949.12945720495,7273687.153110545,0,,196,s0,28.0
328770.00498156017,7273475.366219155,0,,196,s0,35.0
326268.7270644783,7274815.813375024,0,,190,s0,60.0
326310.49226583855,7274520.133559795,0,,190,s0,50.0
326265.972952483,7274736.2495700065,0,,184,s0,45.0
322173.04918599327,7278866.068957241,0,,196,s0,65.0
320573.0338046258,7273781.973810099,0,,336,s0,45.0
321077.61350878904,7272346.505995414,0,,310,s0,50.0
321124.2849875053,7272181.269628799,0,,295,s0,50.0
321832.92460046697,7270975.934971175,0,,310,s0,40.0
321924.8575185265,7270856.039375577,0,,155,s0,20.0
322292.6469116616,7270877.914922871,0,,196,s0,22.0
322471.4250618463,7270742.292528416,0,,196,s0,25.0
321904.8695919537,7271199.189528357,0,,308,s0,75.0
226979.28726344474,7244371.190292656,0,,174,s0,32.0
226973.1441094436,7244339.476747856,0,,170,s0,32.0
226960.42901753873,7244297.325327658,0,,170,s0,30.0
226964.1066640956,7244219.351199066,0,,170,s0,35.0
226967.6936063628,7244161.013073623,0,,168,s0,40.0
226960.81657222018,7244069.201761549,0,,160,s0,40.0
227023.72411836003,7243971.5716338735,0,,166,s0,30.0
227050.85294609156,7243842.967810808,0,,174,s0,18.0
227063.30417097686,7243684.590048143,0,,168,s0,40.0
227069.22468718246,7243615.424126665,0,,172,s0,32.0
227133.23717645305,7243105.667886069,0,,180,s0,32.0
227158.37875571352,7243021.035112822,0,,172,s0,22.0
227174.82921508228,7242941.001403452,0,,172,s0,40.0
227254.44284176565,7242867.426379428,0,,170,s0,10.0
227315.6764815087,7242736.722983722,0,,180,s0,50.0
227440.34540142404,7242618.597027907,0,,182,s0,35.0
227460.86106203304,7242552.8204165455,0,,164,s0,30.0
227436.61003395694,7242486.054006657,0,,354,s0,35.0
237870.0438387195,7247149.104855416,0,,190,s0,65.0
237910.8030470747,7246877.770084823,0,,190,s0,38.0
237918.00166914694,7246765.512934441,0,,178,s0,40.0
237845.4547310265,7246470.842913674,0,,170,s0,35.0
237866.24250449563,7246387.999776155,0,,170,s0,20.0
238195.45783802724,7245454.4597954955,0,,178,s0,45.0
238270.24764579008,7245249.051605733,0,,0,s0,60.0
238862.1838244433,7245048.822361782,0,,348,s0,50.0
238937.36943273712,7245183.704906825,0,,348,s0,72.0
238948.11376785501,7245326.1159194745,0,,350,s0,75.0
238932.60333473366,7245413.388155465,0,,172,s0,45.0
231921.82159711613,7239054.082574172,0,,2,s0,10.0
232107.59222328127,7243849.056571078,0,,155,s0,70.0
232104.31862309534,7243814.963510621,0,,155,s0,80.0
232310.20086348784,7243906.43489187,0,,170,s0,80.0
232253.95595954108,7243980.599795823,0,,160,s0,80.0
219173.0371723575,7242974.594566371,0,,348,s0,70.0
219150.5012798939,7243102.618507472,0,,360,s0,40.0
219090.40556666313,7243257.476986482,0,,10,s0,45.0
219066.41015976097,7243546.098238463,0,,355,s0,35.0
219034.82857610844,7243636.579821203,0,,358,s0,40.0
219038.4732392868,7243754.83575055,0,,190,s0,30.0
219029.22140198608,7243801.976155258,0,,190,s0,25.0
219031.51374670095,7243942.0376461465,0,,185,s0,40.0
219044.85552277294,7244234.0882001,0,,195,s0,60.0
219029.2791228976,7244451.943856213,0,,182,s0,40.0
218999.08284108707,7244652.752982099,0,,195,s0,55.0
219038.03620954446,7244908.850854115,0,,195,s0,35.0
219084.83962176897,7245072.887464931,0,,195,s0,40.0
219076.3464021471,7245157.290284984,0,,197,s0,30.0
212065.7213354432,7233990.663220373,0,,208,s0,30.0
212106.7031815952,7233810.149963319,0,,202,s0,40.0
212211.821204687,7233660.030519687,0,,335,s0,55.0
212249.73559676466,7233605.831551725,0,,356,s0,50.0
212265.2295381924,7233412.140976879,0,,350,s0,60.0
212270.92741660215,7233189.316332191,0,,350,s0,45.0
212125.89126126945,7232629.600260794,0,,166,s0,40.0
212280.08854961343,7232571.422102772,0,,186,s0,40.0
213622.82534315484,7232352.606641872,0,,162,s0,25.0
213610.1267429425,7232944.576148193,0,,170,s0,30.0
213511.78680386354,7233216.020896411,0,,20,s0,70.0
212868.3470817278,7234212.408084754,0,,215,s0,15.0
211914.21219234157,7234299.340390045,0,,214,s0,40.0
282118.15962088417,7261605.152367229,0,,110,s0,45.0
282629.8060136141,7261615.860187674,0,,145,s0,20.0
283079.60032827995,7262151.121236829,0,,135,s0,25.0
284764.26754720433,7264284.526988236,0,,167,s0,15.0
284781.9548832189,7264175.219237513,0,,158,s0,8.0
285311.3133494999,7264008.263220919,0,,165,s0,5.0
285363.23743103154,7264667.5490252,0,,160,s0,25.0
285379.96000326367,7264711.800018039,0,,175,s0,40.0
285392.19683620404,7264862.679306995,0,,181,s0,30.0
285397.9029604546,7265010.469224785,0,,178,s0,30.0
285511.96772460546,7265416.316615722,0,,175,s0,25.0
280029.57796497236,7273287.874383014,0,,215,s0,50.0
279988.5136603785,7273271.937626896,0,,202,s0,50.0
277614.9391338845,7272369.781258258,0,,104,s0,25.0
277698.33760309545,7272347.845723172,0,,112,s0,5.0
277726.1178525286,7272339.427436687,0,,105,s0,10.0
277832.2748519975,7272306.22419511,0,,92,s0,15.0
277944.33587598207,7272264.792628383,0,,122,s0,10.0
288236.4029258995,7279588.0120081045,0,,214,s0,15.0
289125.403891154,7280434.009807689,0,,182,s0,15.0
288673.37495269027,7283822.3901126925,0,,30,s0,30.0
313044.47901216376,7270070.98917032,0,,32,s0,80.0
314599.0185622411,7269003.746404487,0,,50,s0,55.0
327777.25480337115,7247321.499762969,0,,155,s0,10.0
327413.0441066578,7247926.866542313,0,,160,s0,25.0
327159.3936902674,7248175.695893822,0,,170,s0,30.0
331446.6225317506,7255584.787794597,0,,170,s0,25.0
331190.6055580464,7255792.125591591,0,,177,s0,25.0
331094.85481408227,7256130.5866988115,0,,168,s0,30.0
326024.1305851182,7259463.658261759,0,,204,s0,40.0
326117.2179213781,7260610.90474306,0,,358,s0,20.0
326463.0651228441,7261924.057454624,0,,175,s0,20.0
326543.503333954,7262366.607374869,0,,38,s0,25.0
324550.44153836713,7257243.900087117,0,,205,s0,20.0
324471.23195805936,7257134.892275343,0,,202,s0,35.0
324427.5289832918,7257017.016268661,0,,210,s0,45.0
325074.885481442,7257021.135430216,0,,167,s0,40.0
325214.3639377104,7257154.618260171,0,,198,s0,25.0
324713.11555463914,7251995.368410546,0,,310,s0,15.0
323857.3453419063,7261908.5206171125,0,,202,s0,85.0
324088.98759987066,7262666.076418821,0,,200,s0,50.0
324286.5992584285,7263476.911375712,0,,34,s0,25.0
324353.80288944,7263570.932238037,0,,36,s0,40.0
324430.1758993142,7264042.5862342315,0,,40,s0,55.0
323438.72031868366,7262750.2892775405,0,,160,s0,25.0
318071.9620336424,7263696.64664926,0,,220,s0,50.0
319357.72828888905,7265186.603372876,0,,20,s0,25.0
319248.2729517023,7265060.109120416,0,,200,s0,35.0
310687.9486458418,7250006.453248542,0,,356,s0,40.0
310666.50945067103,7249881.858609421,0,,356,s0,45.0
310659.4427621087,7249866.911651831,0,,357,s0,56.0
310593.426532676,7249874.6500766985,0,,360,s0,48.0
310578.9550759351,7249765.882216081,0,,358,s0,20.0
310648.45105166186,7249467.712907579,0,,320,s0,45.0
310630.6482738287,7249395.457614936,0,,350,s0,30.0
310215.66791378404,7248797.9192421455,0,,30,s0,70.0
310223.0891736479,7248641.151151837,0,,346,s0,90.0
310278.0312341929,7248541.091518684,0,,360,s0,75.0
310304.78899893316,7247751.662204737,0,,308,s0,55.0
289425.8412280554,7245815.146377133,0,,278,s0,15.0
289077.78414031595,7245958.8371293,0,,292,s0,35.0
288347.37549841066,7246180.292052804,0,,322,s0,15.0
288634.5617635567,7247236.6570327645,0,,340,s0,30.0
290173.384734408,7244699.843393818,0,,170,s0,50.0
290199.68073186965,7244625.898445098,0,,170,s0,50.0
290742.0841238247,7244133.468677743,0,,165,s0,65.0
288823.5730065097,7244769.359244086,0,,285,s0,30.0
288643.1456874673,7244922.818008,0,,230,s0,30.0
288203.53499050764,7244981.306102924,0,,240,s0,30.0
287890.34133245255,7244909.00082046,0,,30,s0,30.0
287630.49004114885,7244838.615147263,0,,30,s0,30.0
287413.0966021252,7247505.802249052,0,,350,s0,20.0
287143.13590571587,7247517.029963687,0,,340,s0,20.0
287673.9373947459,7247718.688916583,0,,330,s0,25.0
288088.34054569167,7247747.463059684,0,,342,s0,25.0
288097.62536636856,7247722.008240938,0,,335,s0,20.0
289187.42913192476,7249653.935002822,0,,360,s0,15.0
